#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
14,"Half","PVRIS",41,"modern alternative rock, modern rock, pixie, pop, pop emo, pop punk, rock","Rock, Pop","All We Know Of Heaven, All We Need Of Hell",2017-08-25,4:29,48,93,0,0,11,0,10,-4,131,E Minor,4,2022-08-22,1GaRkv5LKUjTGbDBy9ZbB6,"Rise Records",9A,https://p.scdn.co/mp3-preview/20ba2c9ade432b1f0a782745630895f185ba5d62?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516d81fe74bb715685e4219113
15,"Heat Waves","Glass Animals",85,"gauze pop, indietronica, shiver pop","Pop, Rock","Heat Waves",2020-06-29,3:58,76,53,44,0,53,0,0,-7,81,B Major,4,2022-08-22,6CDzDgIUqeDY5g8ujExx2f,"Polydor Records",1B,,https://i.scdn.co/image/ab67616d00004851ab9d1ae18b640b7b0ce390d4
16,"Like My Father","Jax",71,"gen z singer-songwriter","","Like My Father",2021-06-03,3:03,49,22,91,0,42,0,10,-8,93,F Major,4,2022-08-22,5YVmHTAsdWnoanWXB7AwZX,"Atlantic Records",7B,https://p.scdn.co/mp3-preview/4f63a33c1bf09d52c6a84c32997f2112d926167c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485122d01864d299c7c7b28efc67
17,"Nancy Mulligan","Ed Sheeran",65,"pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,2:59,68,85,12,0,86,0,0,-4,102,G Major,4,2022-08-22,35QZaWQRkmnAVqBF1TLCxQ,"Atlantic Records UK",9B,https://p.scdn.co/mp3-preview/feeb72e5192e052a2ef0caba26842f3eaac94699?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
18,"Break My Heart Again","FINNEAS",70,"alt z, electropop, la indie, pop","Pop","Blood Harmony (Deluxe)",2020-08-07,3:58,40,15,91,0,49,0,0,-14,144,E Minor,4,2022-08-22,7gGBgh0bVxHPgZjA505bo9,"OYOY",9A,https://p.scdn.co/mp3-preview/ea976e4de89c0c28fc50ff64fb2abd3a912d1bdb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851593e693d168c94f916a079b5
19,"Tití Me Preguntó","Bad Bunny",97,"latin, reggaeton, trap latino","Latin","Un Verano Sin Ti",2022-05-06,4:03,65,72,10,0,19,20,10,-5,107,F Minor,4,2022-08-22,1IHWl5LamUGEuP4ozKQSXZ,"Rimas Entertainment LLC",4A,https://p.scdn.co/mp3-preview/a174cca3a21422be508f4e108ea1c04114e42538?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72
20,"It’s All So Incredibly Loud","Glass Animals",56,"gauze pop, indietronica, shiver pop","Pop, Rock","Dreamland",2020-08-07,4:19,39,28,60,17,12,0,0,-13,107,C♯/D♭ Minor,4,2022-08-22,7jbDqjzkpjfUytnqG6zxO3,"Polydor Records",12A,,https://i.scdn.co/image/ab67616d00004851712701c5e263efc8726b1464
21,"Quittin' Time","Zach Bryan",70,"oklahoma country","Country","Summertime Blues",2022-07-15,3:40,56,73,22,0,54,0,20,-6,143,C Minor,4,2022-08-22,50Emgupm363qIrYBe20FR3,"Warner Records",5A,https://p.scdn.co/mp3-preview/3e212e0d2346b00719ac9b395b1a36ab81336d59?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485140efbcb2e827ba3dd58426ed
22,"New Dawn","Oceans Ate Alaska",32,"melodic metalcore, metalcore, post-screamo, progressive metalcore, uk metalcore","Metal, Rock","Nova",2022-08-19,1:49,45,95,0,18,16,10,10,-6,90,C♯/D♭ Major,3,2022-08-22,3is1uaaKRTysn7zqCSMslN,"Fearless Records",3B,,https://i.scdn.co/image/ab67616d00004851978c0e946db820fcdff72bdf
23,"No Interruption","Hoodie Allen",61,"indie pop rap, pop rap","Hip Hop","All American",2012-04-10,3:35,50,71,23,0,55,0,20,-6,103,C♯/D♭ Major,4,2022-08-22,2yJVeT8cP1zstJxRP7Nlv8,"Hoodie Allen",3B,https://p.scdn.co/mp3-preview/6af28c12333febc7b6c6696d7472c38691c45f44?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b6cca3b1310bc82f0149f85d
24,"1-800-273-8255","Logic,Alessia Cara,Khalid",77,"conscious hip hop, dmv rap, hip hop, pop rap, rap, canadian contemporary r&b, canadian pop, dance pop, pop, post-teen pop, uk pop, pop r&b","R&B, Pop, Hip Hop","Everybody",2017-05-05,4:10,62,57,57,0,36,0,10,-8,100,F Minor,4,2022-08-22,5tz69p7tJuGPeMGwNTxYuV,"Def Jam Recordings",4A,,https://i.scdn.co/image/ab67616d00004851cfdf40cf325b609a52457805
25,"Dark Charade","Rishloo",27,"alternative metal, progressive metal","Metal","Living as Ghosts With Buildings as Teeth",2014-12-08,10:46,29,82,7,5,22,0,10,-6,113,A#/B♭ Minor,4,2022-08-22,0llT9QWibKuIHBX3jGV85L,"Rishloo",3A,https://p.scdn.co/mp3-preview/34beb0a89ecccc7dd13f4e89a275270422577f63?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ef65802863f8708bf5571ccf
26,"Satuya","Dvne",19,"edinburgh metal, post-metal, progressive sludge, sci-fi metal, scottish metal","Metal","Etemen Ænka",2021-03-19,11:06,19,74,0,77,12,0,10,-10,126,A#/B♭ Minor,4,2022-08-22,4qv2TvVMfpRvHf0GwnoOmO,"Metal Blade Records",3A,https://p.scdn.co/mp3-preview/f295e182db5e7052cd3c1a13d9277739efd7e9b4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b3ec83e6773cc39b91bb200a
27,"Of Blade and Carapace","Dvne",8,"edinburgh metal, post-metal, progressive sludge, sci-fi metal, scottish metal","Metal","Omega Severer",2020-11-06,7:12,14,93,0,32,21,0,10,-7,145,A#/B♭ Minor,4,2022-08-22,0CtTvQiWd0BnBSKgAA47VG,"Metal Blade Records",3A,https://p.scdn.co/mp3-preview/0b66d3bf4c8f4e7c4a1c705bba7022941248c44c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516e53d83c5c5cf841aa77c9b9
28,"10K","KB",49,"christian hip hop","Hip Hop","10K",2020-07-10,3:16,82,72,1,0,71,10,0,-5,140,F#/G♭ Major,4,2022-08-22,5G2g7titQVbMK8jjRPWWr6,"HGA/Essential Sound",2B,https://p.scdn.co/mp3-preview/7cd74b7c53467e16a935f7aa4366cd4f37c88fad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e7754626072f1a3734344f39
29,"Billie Jean","Michael Jackson",84,"pop, r&b, soul","Pop, R&B","Thriller 25 Super Deluxe Edition",1982-11-30,4:53,92,65,2,2,85,0,0,-3,117,B Minor,4,2022-08-22,5ChkMS8OtdzJeqyybCc9R5,"Epic/Legacy",10A,https://p.scdn.co/mp3-preview/71638a1eac196a5daa9fbf152693585e323d8558?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514121faee8df82c526cbab2be
30,"Puttin' on the Ritz","Taco",60,"","","After Eight",1982-01-01,4:41,80,29,15,0,81,0,10,-17,99,C Major,4,2022-08-22,1taGkdO3DQsNRIQrarhVvc,"Peer Southern Productions Germany",8B,https://p.scdn.co/mp3-preview/1f2c82b59c850d07d6eb18c57fde862793f9d4ae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f13127cb48c63b2fb0c16521
31,"Diplomat's Son","Vampire Weekend",46,"baroque pop, indie rock, modern rock","Rock","Contra",2010-01-12,6:01,50,82,21,5,84,30,0,-7,194,F#/G♭ Major,4,2022-08-22,0Dx352kZFiXR1NlcEMDJZx,"XL Recordings",2B,https://p.scdn.co/mp3-preview/42d8271fd92aaabd2542f670741a88cd094f137b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516fb611690acc5fb2cd3a90dc
32,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",64,"emo, modern rock, rock","Rock","Save Rock And Roll",2013-01-01,3:06,56,92,3,0,57,0,50,-4,152,A Minor,4,2022-08-22,7s0lDK7y3XLmI7tcsRAbW0,"Island Records",8A,,https://i.scdn.co/image/ab67616d0000485160c84f44c080824ce336e1a1
33,"21 Guns","Green Day",74,"permanent wave, punk","Rock","21st Century Breakdown",2009-05-15,5:21,27,74,5,0,42,0,60,-5,160,F Major,4,2022-08-22,64yrDBpcdwEdNY9loyEGbX,"Reprise",7B,https://p.scdn.co/mp3-preview/f51d96ac969e9051697ddbf4a2dd0cca062f42f0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c2ced39899b0d67cd5a724fa
34,"Two-Headed Boy Pt. 2","Neutral Milk Hotel",47,"alternative rock, anti-folk, chamber pop, elephant 6, indie pop, indie rock, lo-fi","Rock, Folk/Acoustic","In the Aeroplane Over the Sea",1998-02-20,5:13,45,37,70,0,13,0,10,-7,91,G#/A♭ Major,3,2022-08-22,4gD68gReo8iXcV9FeRTyQL,"Merge Records",4B,https://p.scdn.co/mp3-preview/f9d385cc5f10758452c9863fdcc177cb60811f32?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851589ce9a911c6e65b1f80c558
35,"The Place Where He Inserted the Blade","Black Country, New Road",56,"art pop, indie rock, london indie, modern rock, uk post-punk revival","Pop, Rock","Ants From Up There",2022-02-04,7:13,38,45,40,0,16,0,10,-8,123,B Major,3,2022-08-22,3k2kIiJqUiIP49iUcOLpWT,"Ninja Tune",1B,https://p.scdn.co/mp3-preview/ae90e14579eb08511c3b77a24cfb59ff1f013209?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
36,"Nervous Young Inhumans","Car Seat Headrest",48,"alternative rock, indie rock, rock","Rock","Twin Fantasy",2018-02-16,5:25,49,32,1,10,34,0,40,-11,134,F#/G♭ Minor,4,2022-08-22,4HfZE4MBRoOpjIbAD4BUa6,"Matador",11A,https://p.scdn.co/mp3-preview/27f7547f43008b9701db26f83c114babc3f68d8d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512764cdf400a1d859640539a9
37,"Omon Ra","Soul Enema",2,"israeli metal","Metal","Of Clans and Clones and Clowns",2017-06-23,7:02,27,85,0,1,59,0,50,-5,136,A Minor,4,2022-08-22,6iMSlp5TJo0LiL7wwJzR6L,"Soul Enema",8A,https://p.scdn.co/mp3-preview/562a46778e9e0bceb5176273a4fdd08fb5f978e5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ebbdac4a71d9733f8fa0cd4e
38,"Croque Monsieur À Disneyland","Ruby My Dear",27,"breakcore, deep breakcore, drill and bass","Hip Hop, Dance/Electronic","Brame",2018-01-26,5:02,67,88,1,35,51,10,0,-6,110,C Major,3,2022-08-22,0P3MMzrqEj24W1zcC6kNie,"PRSPCT Recordings",8B,https://p.scdn.co/mp3-preview/12f59ec0d49dc50aa6afe9a61a2c7d0ac89b2d05?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510f77bbc7eff23c2be772e51c
39,"Josie","Steely Dan",52,"album rock, art rock, classic rock, country rock, folk rock, mellow gold, psychedelic rock, rock, soft rock, yacht rock","Rock, Country","Aja",1977-01-01,4:30,74,40,26,0,60,0,0,-11,122,E Minor,4,2022-08-22,4i74K8KnsOQy8mC1cQ24NL,"Geffen*",9A,,https://i.scdn.co/image/ab67616d00004851e5dd0952c693529017743e39
40,"Blood Sisters - Kontravoid Remix","Fee Lion,Kontravoid",30,"dark pop, dark post-punk, grave wave","Rock, Pop","Blood Sisters Remixed",2019-12-11,5:24,80,94,0,86,19,0,10,-6,120,C♯/D♭ Major,4,2022-08-22,7prMmVV4gWntAgMDzCxpVc,"BOUND",3B,https://p.scdn.co/mp3-preview/2da64ba2ef0ae0473421152df71ef04f694677e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104ccddc1cbada669d325000f
41,"Beat And The Pulse","Austra",39,"alternative dance, art pop, canadian electropop, chamber psych, chillwave, electroclash, electronica, electropop, metropopolis, new rave","Rock, Pop, Dance/Electronic, Folk/Acoustic","Feel It Break",2011-05-16,4:55,63,80,0,58,42,0,10,-10,100,C♯/D♭ Major,4,2022-08-22,5hyEQ6BNYKYrsRNiUxrXT4,"Domino Recording Co",3B,https://p.scdn.co/mp3-preview/e807962a64cfe97181d6ee53423ef8baf2a64bb0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a830a5b399b629f269b2fda9
42,"Restlessness (I Don't Sleep Well)","Constant Smiles",3,"garage psych","Folk/Acoustic","John Waters",2019-03-22,3:59,56,52,81,91,20,0,10,-12,108,C♯/D♭ Major,4,2022-08-22,5ZksQGE7qt0QghOcO2QhuH,"Cold Moon Records",3B,https://p.scdn.co/mp3-preview/c98a7776cbdc9f0089853c49551c4a3db359b098?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510b833ccac7f43243b61ad61c
43,"Piano Concerto No. 21 in C Major, K. 467: II. Andante","Wolfgang Amadeus Mozart,London Mozart Players,Howard Shelley",61,"classical, classical era, british orchestra, chamber orchestra, classical performance, british classical piano","Classical","Mozart: Piano Concertos, Vol. 6",1995-10-01,7:13,14,3,98,97,6,0,0,-28,179,F Major,3,2022-08-22,429GaRIWKJ3EU1GAQPbLcr,"Chandos",7B,https://p.scdn.co/mp3-preview/30219853ed717b0e50e46b7c8b1b0132f0ac52c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485155aeebbb2ee70de24bd6c9fb
44,"Third & Fourth Movement: Allegro","Ludwig van Beethoven,Pittsburgh Symphony Orchestra,William Steinberg",2,"classical, classical era, early romantic era, german romanticism, american orchestra, orchestra, orchestral performance","Classical","Beethoven's 5th",1965-01-01,16:21,33,13,92,73,14,0,10,-22,125,G#/A♭ Major,3,2022-08-22,22ztKvRqV98RzmqEZRUYqf,"Planet Blue Records",4B,https://p.scdn.co/mp3-preview/6e003e3dd27d05a6d8e9457cee881aaec0d7ac04?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510edc123906011fd8e463da81
45,"Le Sacre du Printemps - Revised version for Orchestra (published 1947) / Part 1: The Adoration of the Earth: Introduction","Igor Stravinsky,Berliner Philharmoniker,Herbert von Karajan",28,"classical, early modern classical, neoclassicism, russian modern classical, german orchestra, orchestra, classical performance, orchestral performance","Classical","Stravinsky: The Rite of Spring / Bartók: Concerto for Orchestra",2007-01-01,3:18,16,4,97,97,4,0,0,-27,69,G Major,3,2022-08-22,1tETD10MgBqYpqjlFdgH2W,"Deutsche Grammophon (DG)",9B,,https://i.scdn.co/image/ab67616d00004851f0eb5b09e87f24415266d723
46,"Don't Be So Shy - Work in Progress","Imany",39,"french indie pop","Pop","Sous les jupes des filles (Original Motion Picture Soundtrack)",2014,3:02,43,18,94,0,30,0,10,-12,87,G#/A♭ Minor,4,2022-08-22,21mAUOr6lwjmewS6yxxF2P,"Haute Fidélité / Think Zik !",1A,https://p.scdn.co/mp3-preview/9c3b30a64bdf53eb881b5a8df74a260b3167cadd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516d0e01cc2291abd22f4aa5e9
47,"Matkustaja","Egotrippi",53,"finnish pop, suomi rock","Pop, World/Traditional","20 Suosikkia",2004-03-08,4:01,49,62,3,0,69,0,20,-4,130,A Major,4,2022-08-22,5esJb63Nbi1LeG0v4NyKTt,"Zen Garden",11B,https://p.scdn.co/mp3-preview/1a2cc83e3f062e3e4e56ae075badf72cbd3d42b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5e5e3c41b80f44da247321f
48,"Irgendwie, Irgendwo, Irgendwann - Special 12" Dance Mix","Nena",51,"german pop, german rock, new wave pop","Pop, Rock","Feuer und Flamme",1985-06-24,7:17,35,60,0,0,47,0,20,-13,203,E Minor,4,2022-08-22,61OMeme3atDikStS4QxGIE,"BMG Rights Management GmbH",9A,https://p.scdn.co/mp3-preview/76217b6d3f45281504ad58e9f93add635d9fbbb9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a0394eb8e79d0e4b237738f
49,"Comics","Caravan Palace",53,"electro swing, nu jazz","Easy listening, Dance/Electronic","<|º_º|>",2015-10-16,3:32,55,84,0,3,56,0,40,-6,90,C♯/D♭ Major,4,2022-08-22,6mW6lEKUw4or42IEwBCXJe,"Le Plan Recordings",3B,https://p.scdn.co/mp3-preview/a9a3d3b39255b441089261cce6d5949e82430ed6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d260ec7b7ace5ca6bd69c86a
50,"Rhinestone Eyes","Gorillaz",79,"alternative hip hop","Hip Hop","Plastic Beach",2010-03-03,3:20,68,70,9,0,85,0,0,-6,93,G#/A♭ Minor,4,2022-08-22,1foMv2HQwfQ2vntFf9HFeG,"Parlophone UK",1A,https://p.scdn.co/mp3-preview/477094ad252a43cc492eb4bca0e4893361be212a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851661d019f34569f79eae9e985
51,"Take A Slice","Glass Animals",69,"gauze pop, indietronica, shiver pop","Pop, Rock","How To Be A Human Being",2016-08-26,3:49,62,66,2,0,63,10,20,-7,152,A Major,4,2022-08-22,37adYGaYaAWTGhBaOzX4Fh,"Wolf Tone",11B,,https://i.scdn.co/image/ab67616d00004851ec3d15eab5bd77027abc4b23
52,"War Zone Urchin","Jazmin Bean",44,"indie pop, viral rap","Rock, Hip Hop","Worldwide Torture",2020-11-11,4:04,44,76,1,0,21,0,10,-5,100,G Minor,4,2022-08-22,5A3uPfOAuxTIXU9QFFsKqp,"Universal-Island Records Ltd.",6A,,https://i.scdn.co/image/ab67616d00004851eea4d8ef4ad2b9b0a7f00d37
53,"Bettie","Violet Chachki",29,"strut","Pop","Bettie",2015-06-02,3:09,43,99,0,74,46,0,30,-4,186,C♯/D♭ Major,4,2022-08-22,4nYLbO2YHP0VXMoM9nlsZF,"Sidecar Records & Producer Entertainment Group",3B,https://p.scdn.co/mp3-preview/2c57613acc3384d5a2be25e3db4ac929ceabc148?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485133dee76d40134d6863585bbe
54,"FAIR GAME","Alice Glass",32,"art pop, dark pop, escape room, hyperpop","Pop","PREY//IV",2022-02-16,2:46,50,75,0,46,26,0,20,-7,131,A#/B♭ Minor,4,2022-08-22,1jnkNenBPVSYumGDYfwcYs,"Eating Glass Records",3A,https://p.scdn.co/mp3-preview/0ff4cfa4fbb57a633c63e2ebcfb24b9ef533cbd9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485161fd8f8af6519a640ed0ce7c
55,"The Sails of Charon","Uli Jon Roth",36,"german hard rock, neo classical metal","Metal","Scorpions Revisited",2015-02-09,8:51,30,95,3,25,33,0,20,-3,112,E Major,4,2022-08-22,5MOwtuzKqvTxminQme9n1P,"UDR",12B,https://p.scdn.co/mp3-preview/ab0c29c7896a3fd289f96bd115690531772d3496?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514cd8817e59571f59f07571cd
56,"Four Out Of Five","Arctic Monkeys",59,"garage rock, modern rock, permanent wave, rock, sheffield indie","Blues, Rock","Tranquility Base Hotel & Casino",2018-05-11,5:12,60,86,6,0,68,0,0,-4,130,C Major,4,2022-08-22,3nhzPKCm2yqGmgEhdAg19u,"Domino Recording Co",8B,https://p.scdn.co/mp3-preview/9e703df42f2d0f8a98e73c772c64c16a9eaadc61?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485129d0706875760373af2812f1
57,"November Rain","Guns N' Roses",80,"glam metal, hard rock, rock","Metal, Rock","Use Your Illusion I",1991-09-17,8:56,29,64,2,22,23,0,10,-9,80,B Major,4,2022-08-22,3YRCqOhFifThpSRFJ1VWFM,"Guns N Roses P&D",1B,,https://i.scdn.co/image/ab67616d00004851e44963b8bb127552ac761873
58,"Tornado Of Souls","Megadeth",17,"album rock, alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Rock, Metal","Rust In Peace Live",2010-01-01,5:28,28,98,0,7,40,10,90,-4,98,G Major,4,2022-08-22,6JHI8qT3OaBawJVFh3GHbF,"Shout!",9B,,https://i.scdn.co/image/ab67616d0000485139353da04bc53e6331f53e4f
59,"Hell and You","Amigo the Devil",57,"country rap","Country","Volume 1",2018-05-04,3:21,72,33,78,0,51,0,0,-8,83,A Minor,4,2022-08-22,3banchOoe2giyRK0jaO1c7,"Regime Music Group",8A,https://p.scdn.co/mp3-preview/1f33a2344e5c5035b44ba678ea766fedc9cfa05f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851440d3f67a167757157bfb050
