StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q10,Q11,Q12,Q6,Q14,Q18,Q16,Q19,Q7_1,Q7_2,Q7_3,Q15,Q16,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q14_18,Q14_19,Q14_20,Q14_21,Q14_22,Q14_23,Q14_24,Q14_25,Q14_26,Q14_27,Q7_1 - Parent Topics,Q7_1 - Topics,Q7_2 - Parent Topics,Q7_2 - Topics,Q7_3 - Parent Topics,Q7_3 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Welcome!

This survey contains questions regarding your music preferences and should take approximately 5 minutes. All responses are anonymous and your data will be used for research purposes only.

Please select whether you would like to continue below:",What is your age?,What is your gender?,Do you play any musical instruments? If so list them below,How many years of musical training do you have? (Education/playing),Please type in a song name (and artist) that you are currently listening to on repeat,How often have you listened to the song above in the past month?,Please type in a song name (and artist) that you are currently listening to on repeat,How often have you listened to the song above in the past month?,Please type in a song name (and artist) that you are currently listening to on repeat,How often have you listened to the song above in the past month?,"In the following, please list 3 songs that you are 'sick' of. These are songs you used to enjoy listening to many times but no longer enjoy them because you listened to them too many times.

Please try to list the artist name as well. - Song Name","In the following, please list 3 songs that you are 'sick' of. These are songs you used to enjoy listening to many times but no longer enjoy them because you listened to them too many times.

Please try to list the artist name as well. - Song Name","In the following, please list 3 songs that you are 'sick' of. These are songs you used to enjoy listening to many times but no longer enjoy them because you listened to them too many times.

Please try to list the artist name as well. - Song Name",I get sick of songs very quickly,"If I find a song I like, I listen to it as much as possible",Please answer a few questions regarding your personality and daily activities - It is easy for me to concentrate on my activities,Please answer a few questions regarding your personality and daily activities - Frequently when I am working I find myself worrying about other things,Please answer a few questions regarding your personality and daily activities - Time always seems to be passing slowly,Please answer a few questions regarding your personality and daily activities - I often find myself at 'lose ends' not knowing what to do,Please answer a few questions regarding your personality and daily activities - I am often trapped in situations where I have to do meaningless things,Please answer a few questions regarding your personality and daily activities - Having to look at someone's home movies or pictures bores me tremendously,"Please answer a few questions regarding your personality and daily activities - I have projects in mind all the time, things to do",Please answer a few questions regarding your personality and daily activities - I find it easy to entertain myself,Please answer a few questions regarding your personality and daily activities - Many things I have to do are repetitive and monotonous,Please answer a few questions regarding your personality and daily activities - It takes more stimulation to get me going than most people,Please answer a few questions regarding your personality and daily activities - I get a kick out of most things I do,Please answer a few questions regarding your personality and daily activities - I am seldom excited about my work,Please answer a few questions regarding your personality and daily activities - In any situation I can usually find something to do or see to keep me interested,Please answer a few questions regarding your personality and daily activities - Much of the time I just sit around doing nothing,Please answer a few questions regarding your personality and daily activities - I am good at waiting patiently,Please answer a few questions regarding your personality and daily activities - I often find myself with nothing to do -- time on my hands,"Please answer a few questions regarding your personality and daily activities - In situations where I have to wait, such as a line or a queue, I get very restless",Please answer a few questions regarding your personality and daily activities - I often wake up with a new idea,Please answer a few questions regarding your personality and daily activities - It would be very hard for me to find a job that is exciting enough,Please answer a few questions regarding your personality and daily activities - I would like more challenging things to do in life,Please answer a few questions regarding your personality and daily activities - I feel that I am working below my abilities most of the time,Please answer a few questions regarding your personality and daily activities - Many people would say that I am a creative or imaginative person,"Please answer a few questions regarding your personality and daily activities - I have so many interests, I don't have time to do everything","Please answer a few questions regarding your personality and daily activities - Among my friends, I am the one who keeps doing something the longest","Please answer a few questions regarding your personality and daily activities - Unless I am doing something exciting, even dangerous, I feel half-dead and dull",Please answer a few questions regarding your personality and daily activities - It takes a lot of change and variety to keep me really happy,"Please answer a few questions regarding your personality and daily activities - It seems that the same things are on television or the radio all the time, it's getting old",Q7_1 - Parent Topics,Q7_1 - Topics,Q7_2 - Parent Topics,Q7_2 - Topics,Q7_3 - Parent Topics,Q7_3 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID14_13""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID14_15""}","{""ImportId"":""QID14_16""}","{""ImportId"":""QID14_17""}","{""ImportId"":""QID14_18""}","{""ImportId"":""QID14_19""}","{""ImportId"":""QID14_20""}","{""ImportId"":""QID14_21""}","{""ImportId"":""QID14_22""}","{""ImportId"":""QID14_23""}","{""ImportId"":""QID14_24""}","{""ImportId"":""QID14_25""}","{""ImportId"":""QID14_26""}","{""ImportId"":""QID14_27""}","{""ImportId"":""QID7_1_0f294046_5ueo0166z0aoParTopics""}","{""ImportId"":""QID7_1_0f294046_5ueo0166z0aoTopics""}","{""ImportId"":""QID7_2_0f294046_bpqhmifa7k92ParTopics""}","{""ImportId"":""QID7_2_0f294046_bpqhmifa7k92Topics""}","{""ImportId"":""QID7_3_0f294046_7aho5324s8ehParTopics""}","{""ImportId"":""QID7_3_0f294046_7aho5324s8ehTopics""}"
8/18/2022 16:22,8/18/2022 16:29,IP Address,63.155.20.162,100,401,TRUE,8/18/2022 16:29,R_3imzUjwPeTeUUNR,,,,,44.0563,-122.9164,anonymous,EN,1,Yes,17,Female,,,,,,,,,Dynabeat by Jain,Thumbnail by Louie Zhong,Woman by Doja Cat,Somewhat disagree,Strongly agree,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,Unknown,,Unknown,,Unknown
8/18/2022 16:26,8/18/2022 16:33,IP Address,98.218.96.125,100,454,TRUE,8/18/2022 16:33,R_3humO2KwZWsjiD7,,,,,39.0157,-77.0085,anonymous,EN,1,Yes,42,Female,,,,,,,,,I don't get sick of music that I like,That Kid Rock abomination where he mixed Warren Zevon and Lynyrd Skynyrd together. Both Warren and Ronnie Van Zant roll in their grave every time that crap plays on the radio,Shake It off by Taylor Swift Oh my God I hate that fucking song.,Strongly disagree,Strongly agree,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Unknown,,Unknown,,Unknown
8/18/2022 16:26,8/18/2022 16:37,IP Address,86.157.137.247,100,662,TRUE,8/18/2022 16:37,R_2YRfY0iX63sUAlv,,,,,51.8951,-1.1585,anonymous,EN,0.899999976,Yes,27,Female,,,,,,,,,"Hold On, We’re Going Home - Drake ft. Majid Jordan",Say It - Flume ft. Tove Lo,Found What I’ve Been Looking For - Tom Grennan,Somewhat disagree,Strongly agree,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Unknown,,Unknown,,Unknown
8/18/2022 16:38,8/18/2022 16:50,IP Address,166.205.147.28,100,721,TRUE,8/18/2022 16:50,R_dpoFLvp6RV4rLGh,,,,,38.9034,-76.9882,anonymous,EN,0.899999976,Yes,65,Male,,,,,,,,,None,None,None,Strongly disagree,Strongly agree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Unknown,,Unknown,,Unknown
8/18/2022 16:48,8/18/2022 16:59,IP Address,79.211.223.10,100,628,TRUE,8/18/2022 16:59,R_24CWIy0hMyGD3HS,,,,,51.4133,6.99,anonymous,EN,0.899999976,Yes,39,Female,no,Less than a year,,,,,,,Judy In Disguise (by John Fred And His Playboy Band),Games People Play (as sung by Paper Lace),Major Tom (by Peter Schilling),Neither agree nor disagree,Somewhat agree,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Unknown,,Unknown,,Unknown
8/18/2022 16:50,8/18/2022 17:00,IP Address,80.2.173.167,100,572,TRUE,8/18/2022 17:00,R_2EufOc4ueCWT70B,,,,,55.8119,-4.2573,anonymous,EN,1,Yes,16,Male,"Guitar, Bass guitar",5+ years,,,,,,,Hey Allison! - Jeff Rosenstock,Thursday - Peach Pit,Can't Win - PUP,Strongly disagree,Somewhat disagree,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Unknown,,Unknown,,Unknown
8/18/2022 17:12,8/18/2022 17:17,IP Address,98.121.74.13,100,314,TRUE,8/18/2022 17:17,R_saQ7ms2DPlFW8ZX,,,,,36.1053,-79.8762,anonymous,EN,1,Yes,21,Female,n/a,None,,,,,,,Light On (Maggie Rogers),Now I'm In It (Haim),Supalonely (BENEE),Somewhat disagree,Somewhat agree,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Unknown,,Unknown,,Unknown
8/18/2022 17:58,8/18/2022 18:01,IP Address,67.247.221.87,100,147,TRUE,8/18/2022 18:01,R_322CRMpnTszSZtq,,,,,43.0642,-74.334,anonymous,EN,0.899999976,Yes,42,Female,,None,None ,,none,,none,,none,none,none,Strongly disagree,Strongly disagree,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Unknown,,Unknown,,Unknown
